P-201912-calib
expage.github.io

Calib-site	Sample-type	Sample-ID	Sample	Lat(DD)	Long(DD)	Elev(masl)	Alt-flag	Thickn(cm)	Density(g/cm3)	Shield	Erosion(mm/ka)	10Be-conc(at/g)	10Be-unc(at/g)	10Be-std	26Al-conc(at/g)	26Al-unc(at/g)	26Al-std	Sampl-year	Calib-age(yr)	Calib-age-unc(yr)	P10(at/g/yr)	P10-unc(at/g/yr)	P10-included?	P26(at/g/yr)	P26-unc(at/g/yr)	P26-included?	P10iso(at/g/yr)	P10iso-unc(at/g/yr)	P10iso-included?	P26iso(at/g/yr)	P26iso-unc(at/g/yr)	P26iso-included?	Publication
3	boulder	Balc2009-15	CH-3	44.843	-73.577	226	std	2	2.65	1	0.7	58700	3500	KNSTD	0	0	0	2006	13212	151	3.543	0.217	X	-	-	-	3.661	0.225	X	-	-	-	Balco et al. (2009)
3	boulder	Balc2009-16	CH-4	44.843	-73.577	226	std	2.5	2.65	1	0.7	66400	4100	KNSTD	0	0	0	2006	13212	151	4.032	0.256	X	-	-	-	4.166	0.265	X	-	-	-	Balco et al. (2009)
3	boulder	Balc2009-17	CH-5	44.843	-73.575	226	std	3	2.65	1	0.7	65900	4100	KNSTD	0	0	0	2006	13212	151	4.019	0.257	X	-	-	-	4.152	0.266	X	-	-	-	Balco et al. (2009)
3	boulder	Balc2009-18	CH-6	44.843	-73.575	226	std	2.5	2.65	1	0.7	67700	4300	KNSTD	0	0	0	2006	13212	151	4.112	0.268	X	-	-	-	4.249	0.277	X	-	-	-	Balco et al. (2009)
3	bedrock	Balc2009-19	CH-7	44.865	-73.662	259	std	1	2.65	1	0.7	70900	12100	KNSTD	0	0	0	2006	13212	151	4.120	0.713	X	-	-	-	4.260	0.737	X	-	-	-	Balco et al. (2009)
4	boulder	Putn2010b-11	MR-08-01	-43.57605	170.60835	1024.9	std	0.82	2.7	0.992	0	87500	2538	07KNSTD	0	0	0	2008	9709	54	3.724	0.110	X	-	-	-	3.731	0.110	X	-	-	-	Putnam et al. (2010)
4	boulder	Putn2010b-12	MR-08-02	-43.57581	170.60857	1024.5	std	1.04	2.7	0.993	0	91700	2659	07KNSTD	0	0	0	2008	9709	54	3.909	0.116	X	-	-	-	3.917	0.116	X	-	-	-	Putnam et al. (2010)
4	boulder	Putn2010b-13	MR-08-03	-43.57452	170.60805	1029.4	std	1.85	2.7	0.988	0	87800	2546	07KNSTD	0	0	0	2008	9709	54	3.772	0.112	X	-	-	-	3.778	0.112	X	-	-	-	Putnam et al. (2010)
4	boulder	Putn2010b-14	MR-08-04	-43.57444	170.60832	1028.4	std	0.83	2.7	0.989	0	88600	2569	07KNSTD	0	0	0	2008	9709	54	3.772	0.112	X	-	-	-	3.779	0.112	X	-	-	-	Putnam et al. (2010)
4	boulder	Putn2010b-15	MR-08-05	-43.57435	170.60760	1032.1	std	1.57	2.7	0.991	0	89700	2601	07KNSTD	0	0	0	2008	9709	54	3.824	0.113	X	-	-	-	3.831	0.113	X	-	-	-	Putnam et al. (2010)
4	boulder	Putn2010b-16	MR-08-13	-43.57751	170.60695	1027.6	std	1.69	2.7	0.991	0	89600	2598	07KNSTD	0	0	0	2008	9709	54	3.838	0.114	X	-	-	-	3.845	0.114	X	-	-	-	Putnam et al. (2010)
4	boulder	Putn2010b-17	MR-08-14	-43.57787	170.60493	1032.0	std	2.16	2.7	0.991	0	88100	2555	07KNSTD	0	0	0	2008	9709	54	3.774	0.112	X	-	-	-	3.781	0.112	X	-	-	-	Putnam et al. (2010)
5	boulder	Putn2010b-4	BST-08-03	-44.03131	170.11922	852.0	std	2.22	2.7	0.995	0	146200	4700	07KNSTD	0	0	0	2008	18014	200	3.949	0.135	X	-	-	-	3.872	0.132	X	-	-	-	Putnam et al. (2010)
5	boulder	Putn2010b-5	BST-08-04	-44.03426	170.12025	839.3	std	2.35	2.7	0.996	0	148100	4295	07KNSTD	0	0	0	2008	18014	200	4.046	0.126	X	-	-	-	3.967	0.124	X	-	-	-	Putnam et al. (2010)
5	boulder	Putn2010b-6	BST-08-05	-44.03728	170.12081	837.1	std	2.16	2.7	0.997	0	144400	4188	07KNSTD	0	0	0	2008	18014	200	3.941	0.123	X	-	-	-	3.864	0.120	X	-	-	-	Putnam et al. (2010)
5	boulder	Putn2010b-7	BST-08-06	-44.03773	170.11992	835.1	std	1.07	2.7	0.997	0	148700	5400	07KNSTD	0	0	0	2008	18014	200	4.028	0.154	X	-	-	-	3.949	0.151	X	-	-	-	Putnam et al. (2010)
5	boulder	Putn2010b-8	BST-08-07	-44.03985	170.11979	831.9	std	2	2.7	0.997	0	146300	4243	07KNSTD	0	0	0	2008	18014	200	4.005	0.125	X	-	-	-	3.927	0.122	X	-	-	-	Putnam et al. (2010)
5	boulder	Putn2010b-9	BST-08-08	-44.04216	170.12218	831.4	std	1.31	2.7	0.998	0	150000	4350	07KNSTD	0	0	0	2008	18014	200	4.080	0.127	X	-	-	-	4.001	0.125	X	-	-	-	Putnam et al. (2010)
5	boulder	Putn2010b-10	BST-08-09	-44.04446	170.12274	823.3	std	1.8	2.7	0.998	0	144700	4196	07KNSTD	0	0	0	2008	18014	200	3.980	0.124	X	-	-	-	3.902	0.122	X	-	-	-	Putnam et al. (2010)
6	boulder	Fent2011-1	040906-02	68.9112	17.5224	71	std	2.5	2.65	0.883	0	40800	1900	S555N	0	0	0	2006	11438	118	3.378	0.162	X	-	-	-	3.454	0.165	X	-	-	-	Fenton et al. (2011)
6	boulder	Fent2011-2	040906-03	68.9112	17.5277	41	std	3	2.65	0.881	0	42200	1900	S555N	0	0	0	2006	11438	118	3.625	0.168	X	-	-	-	3.706	0.172	X	-	-	-	Fenton et al. (2011)
6	boulder	Fent2011-3	040906-04	68.9114	17.5282	47	std	3	2.65	0.852	0	41200	1900	S555N	0	0	0	2006	11438	118	3.639	0.172	X	-	-	-	3.720	0.176	X	-	-	-	Fenton et al. (2011)
7	boulder	Fent2011-4	060906-14	69.2135	19.4731	109	std	7.5	2.65	0.854	0	44500	2900	S555N	0	0	0	2006	10996	111	3.996	0.264	X	-	-	-	4.079	0.270	X	-	-	-	Fenton et al. (2011)
7	boulder	Fent2011-5	060906-15	69.2134	19.4728	115	std	3	2.65	0.794	0	40300	2300	S555N	0	0	0	2006	10996	111	3.721	0.216	X	-	-	-	3.798	0.221	X	-	-	-	Fenton et al. (2011)
7	boulder	Fent2011-6	060906-16	69.2148	19.4708	92	std	1	2.65	0.854	0	47200	2500	S555N	0	0	0	2006	10996	111	4.078	0.220	X	-	-	-	4.162	0.225	X	-	-	-	Fenton et al. (2011)
8	boulder	Kapl2011-1	HE-06-02	-50.0843	-73.1635	284.79	std	1.15	2.65	0.9998	0	68724	1993	07KNSTD	0	0	0	2006	12186	144	4.068	0.128	X	-	-	-	4.106	0.129	X	-	-	-	Kaplan et al. (2011)
8	boulder	Kapl2011-2	HE-06-04	-50.0841	-73.1598	271.15	std	1.76	2.65	0.9995	0	64318	2298	07KNSTD	0	0	0	2006	12186	144	3.875	0.146	X	-	-	-	3.911	0.148	X	-	-	-	Kaplan et al. (2011)
8	boulder	Kapl2011-3	HE-07-11	-50.0826	-73.1693	340.62	std	2.3	2.65	0.9999	0	72346	2098	07KNSTD	0	0	0	2007	12187	144	4.105	0.129	X	-	-	-	4.144	0.130	X	-	-	-	Kaplan et al. (2011)
8	boulder	Kapl2011-4	HE-06-06	-50.0830	-73.1771	288.42	std	3.43	2.65	0.9981	0	64048	1857	07KNSTD	0	0	0	2006	12186	144	3.857	0.121	X	-	-	-	3.893	0.122	X	-	-	-	Kaplan et al. (2011)
8	boulder	Kapl2011-5	HE-06-07	-50.0824	-73.1766	289.58	std	1.39	2.65	0.9997	0	65860	1910	07KNSTD	0	0	0	2006	12186	144	3.888	0.122	X	-	-	-	3.924	0.123	X	-	-	-	Kaplan et al. (2011)
8	boulder	Kapl2011-6	HE-07-12	-50.0797	-73.1679	292.50	std	1.45	2.65	0.9978	0	72921	2306	07KNSTD	0	0	0	2007	12187	144	4.308	0.146	X	-	-	-	4.348	0.147	X	-	-	-	Kaplan et al. (2011)
8	boulder	Kapl2011-7	HE-07-13	-50.0796	-73.1680	292.12	std	0.94	2.65	0.9997	0	65996	4353	07KNSTD	0	0	0	2007	12187	144	3.871	0.260	X	-	-	-	3.907	0.263	X	-	-	-	Kaplan et al. (2011)
8	boulder	Kapl2011-8	HE-07-10	-50.0811	-73.1776	286.35	std	3	2.65	0.9991	0	65725	2727	07KNSTD	0	0	0	2007	12187	144	3.948	0.171	X	-	-	-	3.985	0.172	X	-	-	-	Kaplan et al. (2011)
8	boulder	Kapl2011-9	HE-06-05	-50.0816	-73.1788	259.95	std	0.93	2.65	0.9970	0	71700	2079	KNSTD	0	0	0	2006	12186	144	3.930	0.123	X	-	-	-	3.967	0.125	X	-	-	-	Kaplan et al. (2011)
8	boulder	Kapl2011-10	HE-06-08	-50.0821	-73.1759	284.29	std	1.68	2.65	0.9993	0	73172	2841	KNSTD	0	0	0	2006	12186	144	3.937	0.160	X	-	-	-	3.974	0.162	X	-	-	-	Kaplan et al. (2011)
8	boulder	Kapl2011-11	HE-06-01	-50.0841	-73.1648	281.66	std	2.08	2.65	0.9995	0	67659	1962	KNSTD	0	0	0	2006	12186	144	3.657	0.115	X	-	-	-	3.691	0.116	X	-	-	-	Kaplan et al. (2011)
8	boulder	Kapl2011-12	HE-06-03	-50.0841	-73.1605	277.46	std	1.67	2.65	0.9987	0	71651	2078	KNSTD	0	0	0	2006	12186	144	3.881	0.122	X	-	-	-	3.917	0.123	X	-	-	-	Kaplan et al. (2011)
9	boulder	Kapl2011-13	EQ-08-01	-50.17011	-72.75087	240	std	0.79	2.65	0.9972	0	72101	2091	07KNSTD	0	0	0	2008	12838	203	4.211	0.139	X	-	-	-	4.246	0.141	X	-	-	-	Kaplan et al. (2011)
9	boulder	Kapl2011-14	EQ-08-06	-50.17740	-72.73030	252	std	1.32	2.65	0.9996	0	67362	1953	07KNSTD	0	0	0	2008	12838	203	3.894	0.129	X	-	-	-	3.926	0.130	X	-	-	-	Kaplan et al. (2011)
9	boulder	Kapl2011-15	EQ-08-05	-50.17729	-72.72931	238	std	0.99	2.65	0.9990	0	70374	2041	07KNSTD	0	0	0	2008	12838	203	4.115	0.136	X	-	-	-	4.150	0.137	X	-	-	-	Kaplan et al. (2011)
9	boulder	Kapl2011-16	PBS-08-09	-50.28208	-72.69468	221	std	1.86	2.65	0.9999	0	68998	2001	07KNSTD	0	0	0	2008	12838	203	4.118	0.136	X	-	-	-	4.153	0.138	X	-	-	-	Kaplan et al. (2011)
9	boulder	Kapl2011-17	EQ-08-04	-50.17293	-72.73938	245	std	0.73	2.65	0.9985	0	54095	1569	07KNSTD	0	0	0	2008	12838	203	3.126	0.104	-	-	-	-	3.152	0.104	-	-	-	-	Kaplan et al. (2011)
9	boulder	Kapl2011-18	PBS-08-04	-50.28575	-72.69151	216	std	0.85	2.65	1	0	68229	1979	07KNSTD	0	0	0	2008	12838	203	4.054	0.134	X	-	-	-	4.089	0.135	X	-	-	-	Kaplan et al. (2011)
9	boulder	Kapl2011-19	PBS-08-06	-50.28425	-72.68956	218	std	1.03	2.65	1	0	65951	1913	07KNSTD	0	0	0	2008	12838	203	3.916	0.130	X	-	-	-	3.950	0.131	X	-	-	-	Kaplan et al. (2011)
9	boulder	Acke2008-1	PBS-08-11	-50.28002	-72.63369	215	std	2.06	2.65	1	0	64409	1868	07KNSTD	0	0	0	2008	12838	203	3.868	0.128	X	-	-	-	3.901	0.129	X	-	-	-	Kaplan et al. (2011)
9	boulder	Kapl2011-20	PBS-08-02	-50.28659	-72.69584	213	std	1.33	2.65	0.9999	0	66347	1924	07KNSTD	0	0	0	2008	12838	203	3.969	0.131	X	-	-	-	4.003	0.133	X	-	-	-	Kaplan et al. (2011)
10	boulder	Youn2011c-5	09GRO-08	69.11315	-51.03707	170	std	1	2.65	1	0	42052	1220	07KNSTD	0	0	0	2009	8188	612	3.851	0.309	X	-	-	-	3.927	0.315	X	-	-	-	Briner et al. (2012), Young et al. (2013)
10	boulder	Youn2011c-6	09GRO-09	69.11303	-51.03602	170	std	1	2.65	1	0	42303	1227	07KNSTD	0	0	0	2009	8188	612	3.874	0.311	X	-	-	-	3.950	0.317	X	-	-	-	Briner et al. (2012), Young et al. (2013)
10	boulder	Youn2011c-7	09GRO-11	69.11293	-51.03442	170	std	4	2.65	1	0	40487	1174	07KNSTD	0	0	0	2009	8188	612	3.804	0.305	X	-	-	-	3.879	0.311	X	-	-	-	Briner et al. (2012), Young et al. (2013)
10	boulder	Youn2011c-8	09GRO-12	69.11293	-51.03442	170	std	3	2.65	1	0	41669	1208	07KNSTD	0	0	0	2009	8188	612	3.883	0.311	X	-	-	-	3.959	0.317	X	-	-	-	Briner et al. (2012), Young et al. (2013)
10	boulder	Youn2011c-3	FTS08-01	69.20217	-51.08778	75	std	1	2.65	0.999	0	38944	1129	07KNSTD	0	0	0	2008	8187	612	3.923	0.315	X	-	-	-	3.994	0.320	X	-	-	-	Briner et al. (2012), Young et al. (2013)
10	boulder	Youn2011c-4	FST08-02	69.20190	-51.08597	75	std	1	2.65	0.999	0	36884	1070	07KNSTD	0	0	0	2008	8187	612	3.713	0.298	X	-	-	-	3.780	0.303	X	-	-	-	Briner et al. (2012), Young et al. (2013)
11	boulder	Goeh2012-1	YDC08-2	59.78080	5.79079	77	std	3.5	2.6	0.9954	1.72	51200	1485	07KNSTD	0	0	0	2008	11648	110	3.887	0.121	X	-	-	-	3.952	0.123	X	-	-	-	Goehring et al. (2012)
11	boulder	Goeh2012-2	YDC08-3	59.78113	5.79049	79	std	1.7	2.6	0.9866	1.72	53500	1552	07KNSTD	0	0	0	2008	11648	110	4.031	0.125	X	-	-	-	4.098	0.127	X	-	-	-	Goehring et al. (2012)
11	boulder	Goeh2012-3	YDC08-4	59.78096	5.79017	74	std	1.4	2.6	0.9803	1.72	52400	1520	07KNSTD	0	0	0	2008	11648	110	3.982	0.124	X	-	-	-	4.048	0.126	X	-	-	-	Goehring et al. (2012)
11	boulder	Goeh2012-4	YDC08-5	59.78158	5.79029	76	std	1.4	2.6	0.9841	1.72	56000	1624	07KNSTD	0	0	0	2008	11648	110	4.235	0.132	X	-	-	-	4.305	0.134	X	-	-	-	Goehring et al. (2012)
11	boulder	Goeh2012-5	YDC08-7	59.81646	5.81879	99	std	2.8	2.6	0.9445	1.72	57000	1653	07KNSTD	0	0	0	2008	11648	110	4.448	0.138	-	-	-	-	4.524	0.141	-	-	-	-	Goehring et al. (2012)
11	boulder	Goeh2012-6	YDC08-8	59.81384	5.81889	91	std	2.6	2.6	0.9939	1.72	55100	1600	07KNSTD	0	0	0	2008	11648	110	4.106	0.128	X	-	-	-	4.176	0.130	X	-	-	-	Goehring et al. (2012)
11	boulder	Goeh2012-7	YDC08-9	59.81395	5.81898	87	std	2.9	2.6	0.9695	1.72	55800	1618	07KNSTD	0	0	0	2008	11648	110	4.292	0.133	X	-	-	-	4.366	0.136	X	-	-	-	Goehring et al. (2012)
11	boulder	Goeh2012-8	YDC08-10	59.81367	5.81901	88	std	3.8	2.6	0.9988	1.72	55400	1607	07KNSTD	0	0	0	2008	11648	110	4.162	0.129	X	-	-	-	4.233	0.132	X	-	-	-	Goehring et al. (2012)
12	boulder	Goeh2012-9	OL08-1	61.66674	6.81500	127	std	4.1	2.7	0.8946	0	28100	815	07KNSTD	0	0	0	2008	6067	111	4.273	0.147	X	-	-	-	4.304	0.148	X	-	-	-	Goehring et al. (2012)
12	boulder	Goeh2012-10	OL08-3	61.66690	6.81437	133	std	1.5	2.7	0.8876	0	26400	766	07KNSTD	0	0	0	2008	6067	111	3.928	0.135	X	-	-	-	3.957	0.136	X	-	-	-	Goehring et al. (2012)
12	boulder	Goeh2012-11	OL08-5	61.66624	6.81435	146	std	1.8	2.7	0.8808	0	24300	705	07KNSTD	0	0	0	2008	6067	111	3.604	0.124	-	-	-	-	3.630	0.125	-	-	-	-	Goehring et al. (2012)
12	boulder	Goeh2012-12	OL08-7	61.66594	6.81505	134	std	1.8	2.7	0.8936	0	28000	1000	07KNSTD	0	0	0	2008	6067	111	4.149	0.167	X	-	-	-	4.179	0.168	X	-	-	-	Goehring et al. (2012)
12	boulder	Goeh2012-13	OL08-9	61.66559	6.81518	146	std	2.8	2.7	0.8862	0	26300	900	07KNSTD	0	0	0	2008	6067	111	3.916	0.152	X	-	-	-	3.944	0.153	X	-	-	-	Goehring et al. (2012)
12	boulder	Goeh2012-14	OL08-11	61.66650	6.81575	127	std	4.4	2.7	0.8880	0	32700	948	07KNSTD	0	0	0	2008	6067	111	5.033	0.173	-	-	-	-	5.069	0.174	-	-	-	-	Goehring et al. (2012)
12	boulder	Goeh2012-15	OL08-13	61.66653	6.81475	133	std	3.5	2.7	0.8697	0	26000	800	07KNSTD	0	0	0	2008	6067	111	4.019	0.144	X	-	-	-	4.049	0.145	X	-	-	-	Goehring et al. (2012)
13	boulder	Brin2007-10	CI2-01-01	69.83525	-70.49695	65	std	5	2.65	0.997	0	36371	2280	07KNSTD	0	0	0	2001	8250	297	3.875	0.281	X	-	-	-	3.915	0.283	X	-	-	-	Balco et al. (2009), Young et al. (2013)
13	boulder	Brin2007-11	CI2-01-02	69.83445	-70.49803	65	std	4	2.65	0.997	0	36533	1208	07KNSTD	0	0	0	2001	8250	297	3.859	0.189	X	-	-	-	3.899	0.191	X	-	-	-	Balco et al. (2009), Young et al. (2013)
13	boulder	Brin2007-12	CR03-90	69.83022	-70.49618	72	std	2	2.65	0.986	0	36469	1058	07KNSTD	0	0	0	2003	8252	297	3.800	0.176	X	-	-	-	3.840	0.178	X	-	-	-	Balco et al. (2009), Young et al. (2013)
13	boulder	Brin2007-13	CR03-91	69.83182	-70.49577	67	std	2	2.65	0.983	0	35631	1452	07KNSTD	0	0	0	2003	8252	297	3.742	0.204	X	-	-	-	3.781	0.206	X	-	-	-	Balco et al. (2009), Young et al. (2013)
13	boulder	Brin2007-14	CR03-92	69.83182	-70.49577	67	std	2	2.65	0.983	0	36948	1071	07KNSTD	0	0	0	2003	8252	297	3.883	0.180	X	-	-	-	3.923	0.181	X	-	-	-	Balco et al. (2009), Young et al. (2013)
13	boulder	Brin2007-15	CR03-93	69.83235	-70.49670	67	std	3	2.65	0.984	0	36756	1066	07KNSTD	0	0	0	2003	8252	297	3.892	0.180	X	-	-	-	3.933	0.182	X	-	-	-	Balco et al. (2009), Young et al. (2013)
13	boulder	Brin2007-16	CR03-94	69.83277	-70.49750	65	std	2	2.65	0.994	0	38787	1125	07KNSTD	0	0	0	2003	8252	297	4.042	0.187	X	-	-	-	4.084	0.189	X	-	-	-	Balco et al. (2009), Young et al. (2013)
14	boulder	Youn2013b-1	11QOO-01	69.2844	-50.7569	350	std	1.5	2.65	0.995	0	55600	1900	07KNSTD	0	0	0	2011	9253	42	3.831	0.132	X	-	-	-	3.953	0.137	X	-	-	-	Young et  al. (2013)
14	boulder	Youn2013b-2	11QOO-02	69.2844	-50.7569	350	std	1.5	2.65	0.995	0	55800	1618	07KNSTD	0	0	0	2011	9253	42	3.845	0.113	X	-	-	-	3.967	0.117	X	-	-	-	Young et  al. (2013)
14	boulder	Youn2013b-3	11QOO-03	69.2844	-50.7566	350	std	1	2.65	0.995	0	57100	1656	07KNSTD	0	0	0	2011	9253	42	3.918	0.115	X	-	-	-	4.043	0.119	X	-	-	-	Young et  al. (2013)
14	boulder	Youn2013b-4	11QOO-04	69.2844	-50.7562	350	std	1.25	2.65	0.995	0	55400	1607	07KNSTD	0	0	0	2011	9253	42	3.809	0.112	X	-	-	-	3.929	0.116	X	-	-	-	Young et  al. (2013)
14	boulder	Youn2013b-5	11QOO-05	69.2842	-50.7528	350	std	1	2.65	0.996	0	56400	1636	07KNSTD	0	0	0	2011	9253	42	3.866	0.114	X	-	-	-	3.988	0.117	X	-	-	-	Young et  al. (2013)
15	boulder	Clau2014-1	Chi-1	46.4155	8.8524	761	std	2	2.65	0.9773	1	104000	5380	S555N	0	0	0	2012	13426	166	4.291	0.232	X	-	-	-	4.255	0.230	X	-	-	-	Claude et al. (2014)
15	boulder	Clau2014-2	Chi-3	46.4139	8.8543	742	std	5	2.65	0.9818	1	97710	7640	S555N	0	0	0	2012	13426	166	4.185	0.336	X	-	-	-	4.149	0.333	X	-	-	-	Claude et al. (2014)
15	boulder	Clau2014-3	Chi-4	46.4161	8.8516	764	std	3	2.65	0.9500	1	94920	5080	S555N	0	0	0	2012	13426	166	4.051	0.226	X	-	-	-	4.016	0.224	X	-	-	-	Claude et al. (2014)
15	boulder	Clau2014-4	Chi-5a-2	46.4280	8.8488	815	std	5	2.65	0.9500	1	99830	7290	S555N	0	0	0	2012	13426	166	4.144	0.311	X	-	-	-	4.109	0.309	X	-	-	-	Claude et al. (2014)
15	boulder	Clau2014-5	Chi-6	46.4271	8.8493	802	std	2	2.65	0.9500	1	96540	5340	S555N	0	0	0	2012	13426	166	3.949	0.227	X	-	-	-	3.916	0.225	X	-	-	-	Claude et al. (2014)
15	boulder	Clau2014-6	Chi-7	46.4271	8.8490	805	std	2.5	2.65	0.9794	1	98930	5340	S555N	0	0	0	2012	13426	166	3.932	0.221	X	-	-	-	3.899	0.219	X	-	-	-	Claude et al. (2014)
15	boulder	Clau2014-7	Chi-10	46.4186	8.8490	801	std	2	2.65	0.9772	1	82170	5930	S555N	0	0	0	2012	13426	166	3.264	0.242	-	-	-	-	3.236	0.240	-	-	-	-	Claude et al. (2014)
15	boulder	Clau2014-8	Chi-11	46.4174	8.8502	800	std	1	2.65	0.9772	1	118850	7960	S555N	0	0	0	2012	13426	166	4.703	0.325	X	-	-	-	4.664	0.322	X	-	-	-	Claude et al. (2014)
15	boulder	Clau2014-9	Chi-12	46.4238	8.8495	790	std	3	2.65	0.9836	1	99910	6790	S555N	0	0	0	2012	13426	166	4.024	0.282	X	-	-	-	3.990	0.280	X	-	-	-	Claude et al. (2014)
16	boulder	Kell2015-1	Q-40	-13.9442	-70.8936	4853	std	2.8417	2.29	0.998	5	545200	15811	KNSTD	0	0	0	2005	12290	150	3.580	0.117	X	-	-	-	3.578	0.117	X	-	-	-	Kelly et al. (2015)
16	boulder	Kell2015-2	Q-40a	-13.9442	-70.8936	4853	std	2.8417	2.6	0.999	0	565230	16392	KNSTD	0	0	0	2005	12290	150	3.58	0.113	X	-	-	-	3.578	0.113	X	-	-	-	Kelly et al. (2015)
16	boulder	Kell2015-3	Q-42	-13.9450	-70.8929	4857	std	1.5672	2.29	0.996	5	567340	16453	KNSTD	0	0	0	2005	12290	150	3.698	0.120	X	-	-	-	3.696	0.120	X	-	-	-	Kelly et al. (2015)
